config,subset,n,apt_acc,apt_bacc,nat_acc,nat_bacc
A,matched,1949,0.1903540277065161,0.280098645878954,0.5371985633658286,0.5054624483378558
A,overall,35337,0.0104989104904208,0.0143698804725257,0.4158247729009254,0.2082024374701894
A,unmatched,33388,0.0,0.0,0.4087396669462082,0.2
B,matched,1949,0.189840944073884,0.3107655225028419,0.5248845561826577,0.5061603777125349
B,overall,35337,0.0104706115403118,0.0142175679986199,0.4151455980983105,0.2080148539662126
B,unmatched,33388,0.0,0.0,0.4087396669462082,0.2
C,matched,1949,0.2011287839917906,0.2896528636526091,0.521292970754233,0.5079690400410632
C,overall,35337,0.0110931884427087,0.0147075449000976,0.4149475054475479,0.2080373341147442
C,unmatched,33388,0.0,0.0,0.4087396669462082,0.2
D,matched,1949,0.1893278604412519,0.27736347413246154,0.5233453052847614,0.4969996084124947
D,overall,35337,0.010442312590202903,0.014085853703311911,0.4150607012479837,0.207771209268533
D,unmatched,33388,0.0,0.0,0.4087396669462082,0.2
